@Αἰγίλιψ|n268
βουλευτής|n1912
βουλεύω|n1913
βουληφόρος|n1915
βουλυτός|n1917
βουπλήξ|n1918
βουπράσιον|n1919
βουφονέω|n1921
βοόων|n1894
βούβοτος|n1903
βούβρωστις|n1904
βούδειον|n1907
βούλομαι|n1916
βοώτης|n1923
βοῦς|n1920
βοῶπις|n1922
βράχω|n1927
βρέμω|n1928
βρέφος|n1929
βρίζω|n1933
βρίθω|n1937
βραδυτής|n1925
βραδύς|n1924
βραχίων1|n1926
βραχίων|n1926
βρεχμός|n1930
βριάρεως|n1931
βριήπυος|n1934
βριαρός|n1932
βριθοσύνη|n1935
βριθύς|n1936
βρισεύς|n1938
βρισηίς|n1939
βρομέω|n1940
βροντάω|n1942
βροντή|n1943
βροτολοιγός|n1946
βροτόεις|n1945
βροτός1|n1947
βροτός|n1947
βροτόω|n1949
βρυσειαί|n1951
βρυχάομαι|n1952
βρωτύς|n1956
βρόμος1|n1941
βρόμος|n1941
βρότεος|n1944
βρότος2|n1948
βρότος|n1948
βρόχος|n1950
βρύω|n1953
βρώμη|n1954
βρῶσις|n1955
βυσσοδομεύω|n1959
βυσσός|n1960
βωμός|n1963
βωστρέω|n1967
βωτιάνειρα|n1968
βόειος|n1881
βόθρος|n1888
βόλομαι|n1892
βόσις|n1896
βόσκω|n1897
βότρυς|n1902
βύβλινος|n1957
βύκτης|n1958
βύω|n1961
βώσαντι|n1966
βώτωρ|n1969
βῆ|n1846
βῆμεν|n1848
βῆσσα|@
βῶλος|n1962
βῶν|n1965
βῶρος|n1964
γάλα|n1974
γάμος|n1981
γάνυμαι|n1985
γάρ|n1987
γάργαρον|n1988
γάστρη|n1990
γέ|n1992
γέγαα|n1993
γέγηθα|n1994
γέγωνα|n1995
γέλος|n2002
γέλως|n2004
γένειον|n2009
γένεσις|n2010
γένος|n2013
γέντο|n2014
γένυς|n2015
γέρανος|n2019
γέραρος|n2020
γέρας|n2021
γέρων|n2024
γέφυρα|n2026
γίγαντες|n2036
γίγνομαι|n2037
γαίω|n1973
γαιήιος|n1971
γαιήοχος|n1972
γαλάτεια|n1976
γαλήνη|n1977
γαλαθηνός|n1975
γαλόως|n1978
γαμέω|n1980
γαμβρός|n1979
γαμφηλή|n1982
γαμψῶνυξ|n1983
γανάω|n1984
γανυμήδης|n1986
γαστήρ|n1989
γαυλός|n1991
γαῖα|n1970
γείνομαι|n1996
γείτων|n1997
γελάω|n1999
γελαστός|n1998
γελοίιος|n2001
γελοιάω|n2000
γελόω|n2003
γενέθλη|n2006
γενεή|n2005
γενειάς|n2007
γενειάω|n2008
γενετή|n2011
γενναῖος|n2012
γερήνιος|n2022
γεραίρω|n2017
γεραιστός|n2018
γεραιός|n2016
γερούσιος|n2023
γεφυρόω|n2027
γεύομαι|n2025
γηθέω|n2029
γηθοσύνη|n2030
γηθόσυνος|n2031
γηράς1|n2032
γηράς|n2032
γηράσκω|n2034
γιγνώσκω|n2038
γλάγος|n2039
γλήνη|n2048
γλίσας|n2050
γλακτοφάγος|n2040
γλαυκιάω|n2042
γλαυκός|n2043
γλαυκῶπις|n2045
γλαφυρός|n2047
γλαφύραι|n2046
γλαύκη|n2041
γλαῦκος|n2044
γλουτός|n2051
γλυκερός|n2052
γλυκύθυμος|n2053
γλυκύς|n2054
γλυφίς|n2055
γλωχίς|n2057
γλῆνος|n2049
γλῶσσα|n2056
γνάμπτω|n2060
γνήσιος|n2061
γναθμός|n2058
γναμπτός|n2059
γνωτός1|n2065
γνωτός|n2065
γνύξ|n2062
γνώριμος|n2064
γνῷ|n2063
γοάω|n2066
γονή|n2068
γονόεσσα|n2069
γοργυθίων|n2076
γοργώ|n2077
γουνάζομαι|n2080
γουνεύς|n2082
γουνόομαι|n2083
γουνός|n2084
γοόω|n2074
γούνατα|n2081
γοῦν|n2079
γράφω|n2088
γρήνικος|n2089
γραπτύς|n2087
γραῖα|@
γρηῦς|n2090
γυγαίη|n2092
γυιόω|n2094
γυμνός|n2095
γυμνόω|n2096
γυνή|n2100
γυναικεῖος|n2097
γυναιμανής|n2098
γυραί|n2101
γυρτιάδης|n2103
γυρτώνη|n2104
γυρός|n2102
γυῖον|n2093
γωρυτός|n2106
γόμφος|n2067
γόνος|n2070
γόνυ|n2071
γόον|n2072
γόος|n2073
γόργειος|n2075
γόρτυς|n2078
γύαλον|n2091
γύναιος|n2099
γύψ|n2105
γῆ|n2028
γῆρας2|n2033
γῆρας|n2033
γῆρυς|n2035
δάηται|n2112
δάκνω|n2139
δάκρυ|n2140
δάκρυον|n2142
δάμαρ|n2148
δάμασος|n2150
δάμνημι|n2149
δάος|n2156
δάπεδον|n2157
δάπτω|n2158
δάρδανος|n2163
δάρης|n2165
δάσκιος|n2168
δάσονται|n2170
δάφνη|n2176
δέ1|n2178
δέ|n2178
δέατ|n2180
δέγμενος|n2181
δέδαα|n2182
δέδηε|n2185
δέδορκε|n2190
δέελος|n2192
δέκα|n2221
δέκας|n2223
δέκατος|n2224
δέκτης|n2226
δέκτο|n2227
δέμας|n2229
δέμνιον|n2230
δέμω|n2231
δένδρεον|n2233
δέξο|n2240
δέος|n2242
δέπας|n2243
δέρκομαι|n2244
δέρμα|n2245
δέρον|n2247
δέρτρον|n2248
δέρω|n2249
δέσμα|n2250
δέσποινα|n2252
δέχαται|n2263
δέχομαι|n2264
δέψω|n2265
δέω1|n2267
δέω|n2267
δέϝω1|n2266
δέϝω|n2266
δή|n2268
δήιος|n2272
δήλημα|n2281
δήμιος|n2287
δήν|n2298
δήω1|n2306
δήω|n2306
δία|n2307
δίδημι|n2365
δίδυμος|n2367
δίδωμι|n2368
δίε|n2369
δίεμαι|n2376
δίζημαι|n2390
δίζυξ|n2391
δίζω|n2392
δίη|n2393
δίηται|n2397
δίκαιος|n2403
δίκη|n2405
δίκτυον|n2407
δίνη|n2409
δίον|n2419
δίπλαξ|n2426
δίπτυξ|n2428
δίπτυχος|n2429
δίς|n2430
δίσκος|n2433
δίφρος|n2435
δίχα|n2436
δίψα|n2439
δίω|n2441
δα|@
δαήμων|n2109
δαήρ|n2111
δαί1|@
δαί2|@
δαί|@
δαίδαλον|n2117
δαίδαλος|n2118
δαίζω|n2119
δαίμων|n2122
δαίνυ|n2123
δαίνυμι|n2124
δαίς1|@
δαίς2|@
δαίς|@
δαίτη|n2128
δαίτωρ|n2135
δαίφρων|n2136
δαίω1|@
δαίω2|@
δαίω|@
δαιδάλεος|n2115
δαιδάλλω|n2116
δαικτάμενος|n2120
δαιμόνιος|n2121
δαιτρεύω|n2129
δαιτροσύνη|n2132
δαιτρόν|n2130
δαιτρός|n2131
δαιτύμων|n2133
δαιτύς|n2134
δακρυπλώω|n2143
δακρυχέων|n2144
δακρυόεις|n2141
δακρύω|n2145
δαλός1|n2146
δαλός|n2146
δαμάζω|n2147
δαμαστορίδης|n2151
δαμείω|n2152
δανάη|n2153
δαναοί|n2154
δανός|n2155
δαρδάνιαι|n2161
δαρδάνιοι|n2162
δαρδάπτω|n2164
δαρδανίδης|n2159
δαρδανίη|n2160
δαρθάνω|n2166
δασάσκετο|n2167
δασμός|n2169
δασπλῆτις|n2171
δασύμαλλος|n2172
δασύς|n2173
δατέομαι|n2174
δαυλίς|n2175
δαφοινός|n2177
δαῆναι|n2110
δε2|n2179
δε|n2179
δείδεκτο|n2194
δείδια|n2196
δείδοικα|n2199
δείδω|n2200
δείελος|n2202
δείκνυμι|n2204
δείλη|n2205
δείλομαι1|n2206
δείλομαι|n2206
δείματο|n2209
δείους|n2212
δείπνηστος|n2214
δείρας|n2217
δεδίασι|n2186
δεδίσκομαι|n2187
δεδαίαται|n2183
δεδαιγμένος|n2184
δεδμήατο|n2188
δεδοκημένος|n2189
δεδραγμένος|n2191
δειδήμων|n2195
δειδίσσομαι|n2198
δειδισκόμενος|n2197
δειελιάω|n2201
δεικανάομαι|n2203
δειλός|n2207
δεινός|n2211
δειπνέω|n2213
δειπνίζω|n2215
δειρή|n2218
δειροτομέω|n2219
δεισήνωρ|n2220
δεκάκις|n2222
δεκάχιλοι|n2225
δελφίς|n2228
δενδίλλω|n2232
δενδρήεις|n2234
δεξαμένη|n2235
δεξιάδης|n2236
δεξιή|n2237
δεξιτερός|n2239
δεξιός|n2238
δερμάτινος|n2246
δεσμός|n2251
δετή|n2253
δευήσεσθαι|n2254
δευκαλίδης|n2255
δευκαλίων|n2256
δεόντων|n2241
δεύτατος|n2258
δεύτερος|n2260
δεύω1|@
δεύω2|@
δεύω|@
δεῖ|n2193
δεῖμα|n2208
δεῖμος|n2210
δεῖπνον|n2216
δεῦρο|n2257
δεῦτε|n2259
δηίοχος|n2275
δηίπυλος|n2277
δηίπυρος|n2278
δηίφοβος|n2279
δηθά|n2269
δηθύνω|n2270
δηικόων|n2271
δηιοπίτης|n2273
δηιοτής|n2274
δηιόω|n2276
δηλέομαι1|n2280
δηλέομαι|n2280
δηλήμων|n2282
δημήτηρ|n2285
δημιοεργός|n2286
δημοβόρος|n2288
δημογέρων|n2289
δημοκόων|n2292
δημολέων|n2293
δημοπτόλεμος|n2294
δημοῦχος|n2297
δημόδοκος|n2290
δημόθεν|n2291
δημός2|n2296
δημός|n2296
δηναιός|n2299
δηριάομαι|n2302
δηρός|n2303
δησάσκετο|n2304
διά|n2308
διάγω|n2312
διάει|n2315
διάημι|n2318
διάκτορος|n2327
διάνδιχα|n2335
διέδραμον|n2370
διέκ|n2373
διέξειμι|n2377
διέπραθον|n2380
διέπτατο|n2381
διέπω|n2382
διέργω|n2383
διέρχομαι|n2386
διέσσυτο|n2387
διέτμαγεν|n2388
διέχω|n2389
διήρεσα|n2396
διίστημι|n2400
διίφιλος|n2401
διαίνω|n2321
διαβαίνω|n2309
διαγιγνώσκω|n2310
διαγλάφω|n2311
διαδέρκομαι|n2313
διαδηλέομαι|n2314
διαείδομαι|n2316
διαειπέμεν|n2317
διαθειόω|n2319
διαθρύπτω|n2320
διακείρω|n2322
διακλάω|n2323
διακοσμέω|n2324
διακρίνω|n2326
διακριδόν|n2325
διαλέγομαι|n2328
διαμάω|n2329
διαμελειστί|n2330
διαμετρέω|n2331
διαμετρητός|n2332
διαμοιράομαι|n2333
διαμπερές|n2334
διανύω|n2336
διαπέρθω|n2337
διαπέτομαι|n2338
διαπλήσσω|n2339
διαπορθέω|n2340
διαπρήσσω|n2342
διαπραθέειν|n2341
διαπρό|n2343
διαπρύσιον|n2344
διαπτοιέω|n2345
διαρπάζω|n2346
διαρρίπτω|n2348
διαρραίω|n2347
διασεύομαι|n2349
διασκίδνημι|n2350
διασκοπιάομαι|n2351
διασχίζω|n2352
διατμήγω|n2353
διατρέχω|n2354
διατρέω|n2355
διατρίβω|n2356
διατρυφέν|n2358
διατρύγιος|n2357
διαφαίνομαι|n2359
διαφθείρω|n2360
διαφράζω|n2361
διαφύσσω|n2362
διαχέω|n2363
διδάσκω|n2364
διδυμάων|n2366
διείρομαι|n2372
διελαύνω|n2374
διελθέμεν|n2375
διεξερέομαι|n2378
διεπέφραδε|n2379
διερέσσω|n2384
διερός|n2385
διεῖπον|n2371
διηκόσιοι|n2394
διηνεκής|n2395
διικνέομαι|n2398
διιπετής|n2399
δικάζω|n2402
δικασπόλος|n2404
δικλίς|n2406
δινήεις|n2410
δινεύω|n2408
δινωτός|n2411
διογενής|n2412
διοιστεύω|n2414
διοκλῆς|n2415
διομήδη|n2417
διομήδης|n2418
διοπτήρ|n2422
διοπτεύω|n2421
διοτρεφής|n2425
διπλόος|n2427
δισθανής|n2431
δισκέω|n2432
διφάω|n2434
διχθά|n2437
διχθάδιος|n2438
διψάω|n2440
διωθέω|n2442
διόθεν|n2413
διόλλυμι|n2416
διόνυσος|n2420
διώκω|n2443
διώνη|n2444
διώνυσος|n2445
διώρης|n2446
δμήτειρα|n2449
